h_m_s,transaction_spread
2019-04-05 09:30:00,
2019-04-05 09:30:01,
2019-04-05 09:30:02,
2019-04-05 09:30:03,
2019-04-05 09:30:04,
2019-04-05 09:30:05,-540.0
2019-04-05 09:30:06,-540.0
2019-04-05 09:30:07,-540.0
2019-04-05 09:30:08,-540.0
2019-04-05 09:30:09,-540.0
2019-04-05 09:30:10,-540.0
2019-04-05 09:30:11,-540.0
2019-04-05 09:30:12,40.0
2019-04-05 09:30:13,40.0
2019-04-05 09:30:14,40.0
2019-04-05 09:30:15,40.0
2019-04-05 09:30:16,40.0
2019-04-05 09:30:17,40.0
2019-04-05 09:30:18,40.0
2019-04-05 09:30:19,40.0
2019-04-05 09:30:20,40.0
2019-04-05 09:30:21,40.0
2019-04-05 09:30:22,40.0
2019-04-05 09:30:23,40.0
2019-04-05 09:30:24,40.0
2019-04-05 09:30:25,40.0
2019-04-05 09:30:26,40.0
2019-04-05 09:30:27,40.0
2019-04-05 09:30:28,40.0
2019-04-05 09:30:29,40.0
2019-04-05 09:30:30,40.0
2019-04-05 09:30:31,40.0
2019-04-05 09:30:32,40.0
2019-04-05 09:30:33,40.0
2019-04-05 09:30:34,40.0
2019-04-05 09:30:35,40.0
2019-04-05 09:30:36,40.0
2019-04-05 09:30:37,40.0
2019-04-05 09:30:38,40.0
2019-04-05 09:30:39,-200.0
2019-04-05 09:30:40,260.0
2019-04-05 09:30:41,-240.0
2019-04-05 09:30:42,-240.0
2019-04-05 09:30:43,-240.0
2019-04-05 09:30:44,60.0
2019-04-05 09:30:45,60.0
2019-04-05 09:30:46,-300.0
2019-04-05 09:30:47,-300.0
2019-04-05 09:30:48,-300.0
2019-04-05 09:30:49,-300.0
2019-04-05 09:30:50,-300.0
2019-04-05 09:30:51,-300.0
2019-04-05 09:30:52,-300.0
2019-04-05 09:30:53,-300.0
2019-04-05 09:30:54,-300.0
2019-04-05 09:30:55,-300.0
2019-04-05 09:30:56,-300.0
2019-04-05 09:30:57,-300.0
2019-04-05 09:30:58,-300.0
2019-04-05 09:30:59,-300.0
2019-04-05 09:31:00,-300.0
2019-04-05 09:31:01,-300.0
2019-04-05 09:31:02,-300.0
2019-04-05 09:31:03,260.0
2019-04-05 09:31:04,160.0
2019-04-05 09:31:05,160.0
2019-04-05 09:31:06,160.0
2019-04-05 09:31:07,160.0
2019-04-05 09:31:08,160.0
2019-04-05 09:31:09,160.0
2019-04-05 09:31:10,160.0
2019-04-05 09:31:11,160.0
2019-04-05 09:31:12,160.0
2019-04-05 09:31:13,160.0
2019-04-05 09:31:14,160.0
2019-04-05 09:31:15,-480.0
2019-04-05 09:31:16,-440.0
2019-04-05 09:31:17,-440.0
2019-04-05 09:31:18,-440.0
2019-04-05 09:31:19,-440.0
2019-04-05 09:31:20,-440.0
2019-04-05 09:31:21,-440.0
2019-04-05 09:31:22,-440.0
2019-04-05 09:31:23,-440.0
2019-04-05 09:31:24,-440.0
2019-04-05 09:31:25,-440.0
2019-04-05 09:31:26,-440.0
2019-04-05 09:31:27,-440.0
2019-04-05 09:31:28,-440.0
2019-04-05 09:31:29,720.0
2019-04-05 09:31:30,720.0
2019-04-05 09:31:31,220.0
2019-04-05 09:31:32,0.0
2019-04-05 09:31:33,0.0
2019-04-05 09:31:34,0.0
2019-04-05 09:31:35,0.0
2019-04-05 09:31:36,-340.0
2019-04-05 09:31:37,-340.0
2019-04-05 09:31:38,-340.0
2019-04-05 09:31:39,-340.0
2019-04-05 09:31:40,-340.0
2019-04-05 09:31:41,-340.0
2019-04-05 09:31:42,-340.0
2019-04-05 09:31:43,-340.0
2019-04-05 09:31:44,-340.0
2019-04-05 09:31:45,-340.0
2019-04-05 09:31:46,-340.0
2019-04-05 09:31:47,-340.0
2019-04-05 09:31:48,-160.0
2019-04-05 09:31:49,-160.0
2019-04-05 09:31:50,-160.0
2019-04-05 09:31:51,-160.0
2019-04-05 09:31:52,-160.0
2019-04-05 09:31:53,-160.0
2019-04-05 09:31:54,-160.0
2019-04-05 09:31:55,-160.0
2019-04-05 09:31:56,-1240.0
2019-04-05 09:31:57,-1240.0
2019-04-05 09:31:58,-1240.0
2019-04-05 09:31:59,-1240.0
2019-04-05 09:32:00,480.0
2019-04-05 09:32:01,480.0
2019-04-05 09:32:02,480.0
2019-04-05 09:32:03,480.0
2019-04-05 09:32:04,480.0
2019-04-05 09:32:05,480.0
2019-04-05 09:32:06,480.0
2019-04-05 09:32:07,200.0
2019-04-05 09:32:08,200.0
2019-04-05 09:32:09,1340.0
2019-04-05 09:32:10,1340.0
2019-04-05 09:32:11,1340.0
2019-04-05 09:32:12,1340.0
2019-04-05 09:32:13,1340.0
2019-04-05 09:32:14,1340.0
2019-04-05 09:32:15,1340.0
2019-04-05 09:32:16,1340.0
2019-04-05 09:32:17,1340.0
2019-04-05 09:32:18,1340.0
2019-04-05 09:32:19,1340.0
2019-04-05 09:32:20,1340.0
2019-04-05 09:32:21,560.0
2019-04-05 09:32:22,-520.0
2019-04-05 09:32:23,-520.0
2019-04-05 09:32:24,-520.0
2019-04-05 09:32:25,-520.0
2019-04-05 09:32:26,-520.0
2019-04-05 09:32:27,-520.0
2019-04-05 09:32:28,-480.0
2019-04-05 09:32:29,-480.0
2019-04-05 09:32:30,-480.0
2019-04-05 09:32:31,-480.0
2019-04-05 09:32:32,-480.0
2019-04-05 09:32:33,-480.0
2019-04-05 09:32:34,-480.0
2019-04-05 09:32:35,-480.0
2019-04-05 09:32:36,-480.0
2019-04-05 09:32:37,-480.0
2019-04-05 09:32:38,-480.0
2019-04-05 09:32:39,-480.0
2019-04-05 09:32:40,-480.0
2019-04-05 09:32:41,-480.0
2019-04-05 09:32:42,-760.0
2019-04-05 09:32:43,-760.0
2019-04-05 09:32:44,-760.0
2019-04-05 09:32:45,-760.0
2019-04-05 09:32:46,1020.0
2019-04-05 09:32:47,1020.0
2019-04-05 09:32:48,1020.0
2019-04-05 09:32:49,1020.0
2019-04-05 09:32:50,1020.0
2019-04-05 09:32:51,1020.0
2019-04-05 09:32:52,1020.0
2019-04-05 09:32:53,1020.0
2019-04-05 09:32:54,1020.0
2019-04-05 09:32:55,1020.0
2019-04-05 09:32:56,1020.0
2019-04-05 09:32:57,1020.0
2019-04-05 09:32:58,1020.0
2019-04-05 09:32:59,1020.0
